Year,Kazakhstan,Albania,Algeria,Jordan,Kenya
2012,2.07999E+11,12319834233,2.09059E+11,31634561690,56396704833
2013,2.36635E+11,12776224537,2.09755E+11,34454440141,61671440481
2014,2.21416E+11,13228147516,2.1381E+11,36847643521,68285796663
2015,1.84388E+11,11386853143,1.65979E+11,38587017887,70120446664
2016,1.37278E+11,11861199831,1.60034E+11,39892551127,74815143796
2017,1.66806E+11,13019726212,1.70097E+11,41608435915,82036511259
2018,1.7934E+11,15156424062,1.74911E+11,43370860704,92202979941
2019,1.81667E+11,15401826081,1.7176E+11,44503005775,1.00378E+11
2020,1.71082E+11,15162734205,1.45744E+11,43579916197,1.00658E+11
2021,1.97112E+11,17930565119,1.63472E+11,45116317042,1.09704E+11
2022,2.20623E+11,18882095518,1.91913E+11,47451499859,1.1342E+11
